description,quantity,manufacturer_part_number
"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V",6,GRM188R60J106ME47D
CAP CER 0.1UF 10V X5R 0402,4,C0402C104K8PACTU
"General Purpose Ceramic Capacitor, 0805, 2.2uF, 10%, X7R, 15%, 25V",2,08053C225KAT2A
CAP CER 10UF 10V X5R 0805,2,C0805C106K8PACTU
"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V",4,GRM21BR61E226ME44L
DIODE SCHOTTKY 30V 5A SOD128,24,"PMEG3050EP,115"
DIODE GEN PURP 100V 150MA SOD123,4,1N4148W-TP
"Led, Red/Grn, 180Mcd/230Mcd, 624Nm/525Nm Rohs Compliant: Yes |Wurth Elektronik 150066RG54050",14,150066RG54050
CONN HEADER R/A 8POS 4.2MM,4,45586-0005
,2,HLE-103-02-L-DV-BE-TR
CONN HEADER R/A 6POS 4.2MM,3,45558-0003
CONN RCPT 40POS 0.1 GOLD SMD,4,M20-7812045
CONN HEADER R/A 2POS 3MM,1,43650-0201
CONN HEADER R/A 4POS 4.2MM,1,39-30-1041
SMD Power Inductors 4.7uH ±30% 3.1A 37.7mO,2,NR5040T4R7N
Audio Ind Magnt 5V 9.6X9.6MM SMD,1,SMI-1027-T-5V-R
Trans MOSFET P-CH 20V 22.1A 8-Pin PowerPAK 1212 EP T/R,24,SISH615ADN-T1-GE3
MOSFET 2N-CH 60V 0.3A,13,"SSM6N7002KFU,LF"
"Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",24,RC0603FR-071ML
"Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",115,CRCW060310K0FKEC
RES SMD 10 MOHM 1% 2W 3264,12,MCS3264R010FER
,36,ERJ-3EKF3901V
"Chip Resistor, 120 Ohm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",1,ERJ-3EKF1200V
,13,ERJ-3EKF1001V
,24,ERJ-3EKF1003V
,2,ERJ-3EKF1500V
,14,ERJ-3GEYJ820V
,12,ERJ-3EKF5100V
"Quadruple Operational Amplifier, 0.5 V/us, 1.2 MHz, 3 to 32 V, 0 to 70 degC, 14-Pin SOIC (D), Green (RoHS & no Sb/Br), Tube",13,LM324D
IC CAN CONTROLLER W/SPI 18SOIC,2,MCP2515-I/SO
"High-Speed CAN Transceiver,
 1 Mb/s, 4.5 to 5.5 V, 8-Pin SOIC (SN), Industrial Temperature, RoHS, Tube",2,MCP2551-I/SN
IC REG LINEAR 5V 150MA SOT89,1,AP7381-50Y-13
IC REG BUCK 5V 2A TSOT26,2,AP63205WU-7
"40V, RAIL-TO-RAIL INPUT, PUSH-PU",1,TLV1805DBVR
LM2902 Series 30 V 1.3 MHz Low-Power Quad Operational Amplifier - QFN-16 (3x3),2,LM2902Q4T
